filename,title,categroy,location,,caption,alt_text,keywords,featured ,store,gallery,sku,date_taken
8-point-buck-upstate-ny.jpg,New York 8 Pointer,"wildlife,nature",Upstate NY,Whitetail Buck,,White-tailed buck with an 8-point rack staring downrange in Upstate NY,,y,n,y,,
barred-owl-wachusett-reservation.jpg,Barred Owl,"wildlife,nature",Princeton MA,Barred Owl,,A barred owl perched on a broken tree at Wachusett Mountain Reservation in Princeton,,y,n,y,,
bondcliff-sunset-white-mountains-pemi-loop.jpg,Bondcliff Ridge,"landscape,nature",Pemigewasset Wilderness,,,Bondcliff Trail and cliffs during golden hour in the Pemigewasset Wilderness,,,n,y,,
common-loon-wing-spread-massachusetts.jpg,Plumage,"wildlife,nature",Ashburnham MA,Common Loon,,Common loon spreading its wings,,y,n,y,,
cowee-pond-northern-lights-massachusetts.jpg,"11/19/25 - Auora Borealis, MA","nature,landscape",Gardner MA,,,Northern Lights over Cowee Pond in Gardner,,,n,y,,
drought-foliage-white-mountain-forest.jpg,Drab Foliage - Fall 2025,"landscape,nature",Woodstock NH,,,Drab foliage in Kinsman Notch during the dry fall of 2025,,,n,y,,
fall-foliage-hancock-trail-nh.jpg,Trees and Leaves ,"nature,landscape",Lincoln NH,,,White Mountain hiking trail during peak fall foliage in New Hampshire,,y,y,y,,
frog-sitting-on-lillypad-wachusett-meadow.jpg,Frog on Pad,"nature,wildlife",Princeton MA,Toad,,Frog sitting on a lily pad at Wachusett Meadow Wildlife Sanctuary in Princeton,,,n,y,,
hummingbird-flying-ashburnham-ma.jpg,Hummingbird in Flight,"wildlife,nature",Ashburnham MA,Humming bird,,Hummingbird in flight with wings flapping,,y,n,y,,
kinsman-notch-sunrise-woodstock-nh.jpg,Sunrise in the Notch,"landscape,nature",Kinsman Notch,,,The sun rises over the mountains,,,n,y,,
millers-river-sunrise-massachusetts.jpg,Calm River,"nature,landscape",Lake Dennison,Beaver,,A calm morning by the Millers River,,y,y,y,,
northern-saw-whet-owl-portrait.jpg,Tiny Saw Whet ,"wildlife,nature",Winchendon MA,Northern Saw Whet Owl,,A tiny northern saw-whet owl perched on a pine during a windstorm,,,n,y,,
river-otter-fishing-ma.jpg,Otter Candid,"wildlife,nature",Royalston MA,Otter,,A river otter at Eagle Preserve in Royalston,,,n,y,,
sunrise-fitchburg-central-ma.jpg,Golden Sunrise ,"landscape,nature",Fitchburg MA,,,A glowing yellow sunrise over a lake in Fitchburg,,,n,y,,
sunrise-wachusett-meadow-mass-audobon.jpg,Misty Morning,"nature,landscape",Princeton MA,,,A spider web made visible by morning dew and sunrise in Princeton,,y,n,y,,
view-of-bondcliff-from-west-bond-nh.jpg,View from West Bond,"landscape,nature",Pemigewasset Wilderness,,,View of Bondcliff Mountain and the Pemi Loop from West Bond in the White Mountains of New Hampshire,,,y,y,,
wild-wasp-nest-ma-dcr.jpg,Stick Season,"nature,wildlife",Barre MA,Wasp,,A large wild wasp nest exposed during fall when leaves have dropped,,,n,y,,
winnekeag-sunrise-ashburnham-ma.jpg,Morning View,"landscape,nature",Ashburnham MA,,,A summer sunrise over a misty Massachusetts lake,,,n,y,,
zealand-falls-wmnf-new-hampshire.jpg,Fall Falls,"landscape,nature",Zealand Hut,,,Looking down Zealand Falls near Zealand Falls Hut in the White Mountains of New Hampshire,,y,n,y,,
franconia-ridge-sunrise-mt-lafayette-wmnf,Franconia Ridge Sunrise,"landscape,nature",Franconia Notch NH,,,Looking south down the Franconia Ridge Loop Trail in the White Mountain National Forest,,y,y,y,,7/11/2026
common-loon-close-up-red-eye-massachusetts,Looking Loony,"wildlife,nature",Central MA,Common Loon,,Close up side profile of a common loon in Massachusetts,,y,y,y,,
